order_item_id,order_id,sku,product_name_en,product_name_cn,product_image,category,quantity,unit_price_usd,item_sales_amount_usd,store_id,store_name,platform,country_code,country_name_cn
DEMO2025092900015-1,DEMO2025092900015,SKU002,Lightweight Hiking Backpack 45L,45L轻量徒步背包,/assets/products/placeholder_002.png,Backpacks,1,34.99,34.99,ST003,Coco Sports and Outdoors,tiktok,GB,英国
DEMO2025092900016-1,DEMO2025092900016,SKU015,Premium Fishing Rod Kit,高端钓竿套装,/assets/products/placeholder_015.png,Fishing,1,76.99,76.99,ST004,Outdoor equipment shop,temu,US,美国
DEMO2025092900017-1,DEMO2025092900017,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST007,YIHRA,tiktok,TH,泰国
DEMO2025092900018-1,DEMO2025092900018,SKU004,Waterproof Outdoor Tarp,防水户外天幕,/assets/products/placeholder_004.png,Shelter,1,32.99,32.99,ST003,Coco Sports and Outdoors,temu,PH,菲律宾
DEMO2025092900019-1,DEMO2025092900019,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST004,Outdoor equipment shop,AliExpress,US,美国
DEMO2025092900020-1,DEMO2025092900020,SKU002,Lightweight Hiking Backpack 45L,45L轻量徒步背包,/assets/products/placeholder_002.png,Backpacks,1,34.99,34.99,ST004,Outdoor equipment shop,tiktok,VN,越南
DEMO2025092900021-1,DEMO2025092900021,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST001,YHR C,ozon,PH,菲律宾
DEMO2025092900022-1,DEMO2025092900022,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST005,Xing Fan Go,tiktok,RU,俄罗斯
DEMO2025092900023-1,DEMO2025092900023,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST003,Coco Sports and Outdoors,AliExpress,US,美国
DEMO2025092900024-1,DEMO2025092900024,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST003,Coco Sports and Outdoors,temu,FR,法国
DEMO2025092900025-1,DEMO2025092900025,SKU004,Waterproof Outdoor Tarp,防水户外天幕,/assets/products/placeholder_004.png,Shelter,1,32.99,32.99,ST003,Coco Sports and Outdoors,tiktok,FR,法国
DEMO2025092900026-1,DEMO2025092900026,SKU005,Rechargeable LED Camping Lantern,充电式LED露营灯,/assets/products/placeholder_005.png,Lighting,1,258.99,258.99,ST002,Camplab Outdoor Peak,temu,GB,英国
DEMO2025092900027-1,DEMO2025092900027,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST006,Xing Fan Go,AliExpress,PH,菲律宾
DEMO2025092900028-1,DEMO2025092900028,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST001,YHR C,temu,PH,菲律宾
DEMO2025092900029-1,DEMO2025092900029,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,2,31.99,63.98,ST003,Coco Sports and Outdoors,temu,PH,菲律宾
DEMO2025092900030-1,DEMO2025092900030,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST003,Coco Sports and Outdoors,temu,TH,泰国
DEMO2025092900031-1,DEMO2025092900031,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST005,Xing Fan Go,tiktok,GB,英国
DEMO2025092900032-1,DEMO2025092900032,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST006,Xing Fan Go,tiktok,VN,越南
DEMO2025092900033-1,DEMO2025092900033,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST006,Xing Fan Go,AliExpress,MY,马来西亚
DEMO2025092900034-1,DEMO2025092900034,SKU010,Compact Camping Cookware Set,便携露营炊具套装,/assets/products/placeholder_010.png,Cooking,1,268.99,268.99,ST006,Xing Fan Go,tiktok,US,美国
DEMO2025092900035-1,DEMO2025092900035,SKU002,Lightweight Hiking Backpack 45L,45L轻量徒步背包,/assets/products/placeholder_002.png,Backpacks,1,34.99,34.99,ST006,Xing Fan Go,AliExpress,TH,泰国
DEMO2025092900036-1,DEMO2025092900036,SKU008,Carbon Fiber Trekking Poles,碳纤维登山杖,/assets/products/placeholder_008.png,Trekking,1,289.99,289.99,ST007,YIHRA,mercado,TH,泰国
DEMO2025092900037-1,DEMO2025092900037,SKU008,Carbon Fiber Trekking Poles,碳纤维登山杖,/assets/products/placeholder_008.png,Trekking,1,289.99,289.99,ST002,Camplab Outdoor Peak,tiktok,RU,俄罗斯
DEMO2025092900038-1,DEMO2025092900038,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST006,Xing Fan Go,ozon,PH,菲律宾
DEMO2025092900039-1,DEMO2025092900039,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST004,Outdoor equipment shop,temu,TH,泰国
DEMO2025092900040-1,DEMO2025092900040,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,2,39.99,79.98,ST004,Outdoor equipment shop,AliExpress,US,美国
DEMO2025092900041-1,DEMO2025092900041,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST003,Coco Sports and Outdoors,tiktok,US,美国
DEMO2025092900042-1,DEMO2025092900042,SKU001,2-Person Pop-Up Camping Tent,双人速开露营帐篷,/assets/products/placeholder_001.png,Tents,1,38.99,38.99,ST002,Camplab Outdoor Peak,ozon,MY,马来西亚
DEMO2025092900043-1,DEMO2025092900043,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST001,YHR C,AliExpress,FR,法国
DEMO2025092900044-1,DEMO2025092900044,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST001,YHR C,mercado,MY,马来西亚
DEMO2025092900045-1,DEMO2025092900045,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST002,Camplab Outdoor Peak,AliExpress,GB,英国
DEMO2025092900046-1,DEMO2025092900046,SKU001,2-Person Pop-Up Camping Tent,双人速开露营帐篷,/assets/products/placeholder_001.png,Tents,2,38.99,77.98,ST006,Xing Fan Go,tiktok,US,美国
DEMO2025092900047-1,DEMO2025092900047,SKU013,Family Outdoor Canopy Tent,家庭户外遮阳篷,/assets/products/placeholder_013.png,Tents,1,279.99,279.99,ST006,Xing Fan Go,AliExpress,FR,法国
DEMO2025092900048-1,DEMO2025092900048,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST003,Coco Sports and Outdoors,temu,TH,泰国
DEMO2025092900049-1,DEMO2025092900049,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST002,Camplab Outdoor Peak,tiktok,US,美国
DEMO2025092900050-1,DEMO2025092900050,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST003,Coco Sports and Outdoors,tiktok,US,美国
DEMO2025092900051-1,DEMO2025092900051,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,1,31.99,31.99,ST003,Coco Sports and Outdoors,AliExpress,MY,马来西亚
DEMO2025092900052-1,DEMO2025092900052,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST007,YIHRA,AliExpress,RU,俄罗斯
DEMO2025092900053-1,DEMO2025092900053,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST002,Camplab Outdoor Peak,tiktok,GB,英国
DEMO2025092900054-1,DEMO2025092900054,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST005,Xing Fan Go,temu,FR,法国
DEMO2025092900055-1,DEMO2025092900055,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,2,36.99,73.98,ST003,Coco Sports and Outdoors,temu,VN,越南
DEMO2025092900056-1,DEMO2025092900056,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST002,Camplab Outdoor Peak,AliExpress,US,美国
DEMO2025092900057-1,DEMO2025092900057,SKU005,Rechargeable LED Camping Lantern,充电式LED露营灯,/assets/products/placeholder_005.png,Lighting,1,258.99,258.99,ST003,Coco Sports and Outdoors,temu,VN,越南
DEMO2025092900058-1,DEMO2025092900058,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,2,35.99,71.98,ST007,YIHRA,tiktok,GB,英国
DEMO2025092900059-1,DEMO2025092900059,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST004,Outdoor equipment shop,tiktok,TH,泰国
DEMO2025092900060-1,DEMO2025092900060,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST004,Outdoor equipment shop,AliExpress,VN,越南
DEMO2025092900061-1,DEMO2025092900061,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,2,33.99,67.98,ST002,Camplab Outdoor Peak,temu,VN,越南
DEMO2025092900062-1,DEMO2025092900062,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,1,31.99,31.99,ST003,Coco Sports and Outdoors,ozon,TH,泰国
DEMO2025092900063-1,DEMO2025092900063,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST004,Outdoor equipment shop,AliExpress,PH,菲律宾
DEMO2025092900064-1,DEMO2025092900064,SKU005,Rechargeable LED Camping Lantern,充电式LED露营灯,/assets/products/placeholder_005.png,Lighting,1,258.99,258.99,ST004,Outdoor equipment shop,tiktok,VN,越南
DEMO2025092900065-1,DEMO2025092900065,SKU001,2-Person Pop-Up Camping Tent,双人速开露营帐篷,/assets/products/placeholder_001.png,Tents,1,38.99,38.99,ST002,Camplab Outdoor Peak,tiktok,PH,菲律宾
DEMO2025092900066-1,DEMO2025092900066,SKU001,2-Person Pop-Up Camping Tent,双人速开露营帐篷,/assets/products/placeholder_001.png,Tents,1,38.99,38.99,ST003,Coco Sports and Outdoors,tiktok,VN,越南
DEMO2025092900067-1,DEMO2025092900067,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,1,31.99,31.99,ST003,Coco Sports and Outdoors,tiktok,VN,越南
DEMO2025092900068-1,DEMO2025092900068,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,2,39.99,79.98,ST004,Outdoor equipment shop,AliExpress,MY,马来西亚
DEMO2025092900069-1,DEMO2025092900069,SKU007,Insulated Outdoor Cooler Bag,保温户外冷藏包,/assets/products/placeholder_007.png,Coolers,1,37.99,37.99,ST007,YIHRA,AliExpress,PH,菲律宾
DEMO2025092900070-1,DEMO2025092900070,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST004,Outdoor equipment shop,AliExpress,RU,俄罗斯
DEMO2025092900071-1,DEMO2025092900071,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST003,Coco Sports and Outdoors,temu,GB,英国
DEMO2025092900072-1,DEMO2025092900072,SKU015,Premium Fishing Rod Kit,高端钓竿套装,/assets/products/placeholder_015.png,Fishing,1,76.99,76.99,ST007,YIHRA,mercado,US,美国
DEMO2025092900073-1,DEMO2025092900073,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST004,Outdoor equipment shop,tiktok,US,美国
DEMO2025092900074-1,DEMO2025092900074,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,1,31.99,31.99,ST002,Camplab Outdoor Peak,AliExpress,US,美国
DEMO2025092900075-1,DEMO2025092900075,SKU013,Family Outdoor Canopy Tent,家庭户外遮阳篷,/assets/products/placeholder_013.png,Tents,1,279.99,279.99,ST003,Coco Sports and Outdoors,tiktok,TH,泰国
DEMO2025092900076-1,DEMO2025092900076,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,1,31.99,31.99,ST005,Xing Fan Go,ozon,FR,法国
DEMO2025092900077-1,DEMO2025092900077,SKU008,Carbon Fiber Trekking Poles,碳纤维登山杖,/assets/products/placeholder_008.png,Trekking,1,289.99,289.99,ST003,Coco Sports and Outdoors,tiktok,TH,泰国
DEMO2025092900078-1,DEMO2025092900078,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST004,Outdoor equipment shop,tiktok,US,美国
DEMO2025092900079-1,DEMO2025092900079,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,1,31.99,31.99,ST007,YIHRA,tiktok,US,美国
DEMO2025092900080-1,DEMO2025092900080,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST001,YHR C,tiktok,RU,俄罗斯
DEMO2025092900081-1,DEMO2025092900081,SKU013,Family Outdoor Canopy Tent,家庭户外遮阳篷,/assets/products/placeholder_013.png,Tents,1,279.99,279.99,ST004,Outdoor equipment shop,temu,GB,英国
DEMO2025092900082-1,DEMO2025092900082,SKU015,Premium Fishing Rod Kit,高端钓竿套装,/assets/products/placeholder_015.png,Fishing,1,76.99,76.99,ST003,Coco Sports and Outdoors,tiktok,US,美国
DEMO2025092900083-1,DEMO2025092900083,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST002,Camplab Outdoor Peak,AliExpress,FR,法国
DEMO2025092900084-1,DEMO2025092900084,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST001,YHR C,tiktok,US,美国
DEMO2025092900085-1,DEMO2025092900085,SKU004,Waterproof Outdoor Tarp,防水户外天幕,/assets/products/placeholder_004.png,Shelter,1,32.99,32.99,ST005,Xing Fan Go,temu,MY,马来西亚
DEMO2025092900086-1,DEMO2025092900086,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST003,Coco Sports and Outdoors,tiktok,MY,马来西亚
DEMO2025092900087-1,DEMO2025092900087,SKU015,Premium Fishing Rod Kit,高端钓竿套装,/assets/products/placeholder_015.png,Fishing,1,76.99,76.99,ST005,Xing Fan Go,temu,US,美国
DEMO2025092900088-1,DEMO2025092900088,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST003,Coco Sports and Outdoors,tiktok,VN,越南
DEMO2025092900089-1,DEMO2025092900089,SKU004,Waterproof Outdoor Tarp,防水户外天幕,/assets/products/placeholder_004.png,Shelter,1,32.99,32.99,ST007,YIHRA,AliExpress,PH,菲律宾
DEMO2025092900090-1,DEMO2025092900090,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST005,Xing Fan Go,AliExpress,FR,法国
DEMO2025092900091-1,DEMO2025092900091,SKU015,Premium Fishing Rod Kit,高端钓竿套装,/assets/products/placeholder_015.png,Fishing,1,76.99,76.99,ST005,Xing Fan Go,tiktok,VN,越南
DEMO2025092900092-1,DEMO2025092900092,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST006,Xing Fan Go,tiktok,MY,马来西亚
DEMO2025092900093-1,DEMO2025092900093,SKU015,Premium Fishing Rod Kit,高端钓竿套装,/assets/products/placeholder_015.png,Fishing,1,76.99,76.99,ST002,Camplab Outdoor Peak,temu,RU,俄罗斯
DEMO2025092900094-1,DEMO2025092900094,SKU002,Lightweight Hiking Backpack 45L,45L轻量徒步背包,/assets/products/placeholder_002.png,Backpacks,1,34.99,34.99,ST005,Xing Fan Go,tiktok,PH,菲律宾
DEMO2025092900095-1,DEMO2025092900095,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST001,YHR C,temu,US,美国
DEMO2025092900096-1,DEMO2025092900096,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST006,Xing Fan Go,ozon,US,美国
DEMO2025092900097-1,DEMO2025092900097,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST002,Camplab Outdoor Peak,tiktok,PH,菲律宾
DEMO2025092900098-1,DEMO2025092900098,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST006,Xing Fan Go,temu,GB,英国
DEMO2025092900099-1,DEMO2025092900099,SKU001,2-Person Pop-Up Camping Tent,双人速开露营帐篷,/assets/products/placeholder_001.png,Tents,1,38.99,38.99,ST005,Xing Fan Go,tiktok,GB,英国
DEMO2025092900100-1,DEMO2025092900100,SKU007,Insulated Outdoor Cooler Bag,保温户外冷藏包,/assets/products/placeholder_007.png,Coolers,1,37.99,37.99,ST007,YIHRA,temu,FR,法国
DEMO2025092900101-1,DEMO2025092900101,SKU007,Insulated Outdoor Cooler Bag,保温户外冷藏包,/assets/products/placeholder_007.png,Coolers,1,37.99,37.99,ST007,YIHRA,tiktok,VN,越南
DEMO2025092900102-1,DEMO2025092900102,SKU013,Family Outdoor Canopy Tent,家庭户外遮阳篷,/assets/products/placeholder_013.png,Tents,1,279.99,279.99,ST002,Camplab Outdoor Peak,tiktok,VN,越南
DEMO2025092900103-1,DEMO2025092900103,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST003,Coco Sports and Outdoors,tiktok,VN,越南
DEMO2025092900104-1,DEMO2025092900104,SKU015,Premium Fishing Rod Kit,高端钓竿套装,/assets/products/placeholder_015.png,Fishing,1,76.99,76.99,ST004,Outdoor equipment shop,tiktok,VN,越南
DEMO2025092900105-1,DEMO2025092900105,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST007,YIHRA,tiktok,US,美国
DEMO2025092900106-1,DEMO2025092900106,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST007,YIHRA,AliExpress,RU,俄罗斯
DEMO2025092900107-1,DEMO2025092900107,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST006,Xing Fan Go,AliExpress,GB,英国
DEMO2025092900108-1,DEMO2025092900108,SKU007,Insulated Outdoor Cooler Bag,保温户外冷藏包,/assets/products/placeholder_007.png,Coolers,1,37.99,37.99,ST002,Camplab Outdoor Peak,tiktok,FR,法国
DEMO2025092900109-1,DEMO2025092900109,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST006,Xing Fan Go,mercado,TH,泰国
DEMO2025092900110-1,DEMO2025092900110,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST004,Outdoor equipment shop,temu,PH,菲律宾
DEMO2025092900111-1,DEMO2025092900111,SKU015,Premium Fishing Rod Kit,高端钓竿套装,/assets/products/placeholder_015.png,Fishing,1,76.99,76.99,ST001,YHR C,temu,US,美国
DEMO2025092900112-1,DEMO2025092900112,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST006,Xing Fan Go,AliExpress,US,美国
DEMO2025092900113-1,DEMO2025092900113,SKU007,Insulated Outdoor Cooler Bag,保温户外冷藏包,/assets/products/placeholder_007.png,Coolers,1,37.99,37.99,ST005,Xing Fan Go,tiktok,PH,菲律宾
DEMO2025092900114-1,DEMO2025092900114,SKU004,Waterproof Outdoor Tarp,防水户外天幕,/assets/products/placeholder_004.png,Shelter,1,32.99,32.99,ST004,Outdoor equipment shop,temu,US,美国
DEMO2025092900115-1,DEMO2025092900115,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST007,YIHRA,temu,TH,泰国
DEMO2025092900116-1,DEMO2025092900116,SKU001,2-Person Pop-Up Camping Tent,双人速开露营帐篷,/assets/products/placeholder_001.png,Tents,1,38.99,38.99,ST005,Xing Fan Go,ozon,US,美国
DEMO2025092900117-1,DEMO2025092900117,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST003,Coco Sports and Outdoors,temu,RU,俄罗斯
DEMO2025092900118-1,DEMO2025092900118,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST006,Xing Fan Go,tiktok,US,美国
DEMO2025092900119-1,DEMO2025092900119,SKU013,Family Outdoor Canopy Tent,家庭户外遮阳篷,/assets/products/placeholder_013.png,Tents,1,279.99,279.99,ST006,Xing Fan Go,AliExpress,FR,法国
DEMO2025092900120-1,DEMO2025092900120,SKU007,Insulated Outdoor Cooler Bag,保温户外冷藏包,/assets/products/placeholder_007.png,Coolers,2,37.99,75.98,ST003,Coco Sports and Outdoors,tiktok,FR,法国
DEMO2025092900121-1,DEMO2025092900121,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST005,Xing Fan Go,tiktok,US,美国
DEMO2025092900122-1,DEMO2025092900122,SKU002,Lightweight Hiking Backpack 45L,45L轻量徒步背包,/assets/products/placeholder_002.png,Backpacks,1,34.99,34.99,ST004,Outdoor equipment shop,mercado,US,美国
DEMO2025092900123-1,DEMO2025092900123,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,2,36.99,73.98,ST001,YHR C,AliExpress,RU,俄罗斯
DEMO2025092900124-1,DEMO2025092900124,SKU010,Compact Camping Cookware Set,便携露营炊具套装,/assets/products/placeholder_010.png,Cooking,1,268.99,268.99,ST001,YHR C,ozon,US,美国
DEMO2025092900125-1,DEMO2025092900125,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST006,Xing Fan Go,AliExpress,US,美国
DEMO2025092900126-1,DEMO2025092900126,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,2,35.99,71.98,ST005,Xing Fan Go,temu,MY,马来西亚
DEMO2025092900127-1,DEMO2025092900127,SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,/assets/products/placeholder_012.png,Mattress,1,33.99,33.99,ST005,Xing Fan Go,tiktok,TH,泰国
DEMO2025092900128-1,DEMO2025092900128,SKU009,All-Season Sleeping Bag,全季节睡袋,/assets/products/placeholder_009.png,Sleeping,1,39.99,39.99,ST002,Camplab Outdoor Peak,tiktok,MY,马来西亚
DEMO2025092900129-1,DEMO2025092900129,SKU013,Family Outdoor Canopy Tent,家庭户外遮阳篷,/assets/products/placeholder_013.png,Tents,1,279.99,279.99,ST006,Xing Fan Go,AliExpress,PH,菲律宾
